service_level_threshold,duration_periods,passive_pathways,structural_pathways,adaptation_limited_pathways,unclassified_passive_pathways,dominant_mechanism_family,T2P_IF,corridor_IF,runtime_seconds
0.9,1,48,48,0,0,Concentrated dependency,0.7310877259405164,0.24523127245926885,1.757319100026507
0.9,2,48,41,7,0,Concentrated dependency,0.7310877259405164,0.24523127245926885,1.6642969000386074
0.9,3,44,32,12,0,Concentrated dependency,0.7403963955723588,0.2596036044276411,1.6508455000002868
0.9,4,38,23,15,0,Concentrated dependency,0.7535386544922906,0.24646134550770943,1.2291402999544516
0.85,1,42,42,0,0,Concentrated dependency,0.7471451094760091,0.2528548905239906,1.402477799972985
0.85,2,42,36,6,0,Concentrated dependency,0.7471451094760091,0.2528548905239906,1.4349934000056237
0.85,3,39,29,10,0,Concentrated dependency,0.7421039264366,0.2578960735633997,1.468121100042481
0.85,4,34,20,14,0,Concentrated dependency,0.7755002934147569,0.224499706585243,1.2269329999689944
0.8,1,40,40,0,0,Concentrated dependency,0.7367569666334151,0.26324303336658483,1.0718685999745503
0.8,2,38,29,9,0,Concentrated dependency,0.7373940796079813,0.26260592039201874,0.9518298000330105
0.8,3,36,26,10,0,Concentrated dependency,0.7259127145307526,0.2740872854692476,1.0420467999647371
0.8,4,28,19,9,0,Concentrated dependency,0.7795831985762282,0.2204168014237716,0.8200859999633394
